,Date,Team,Acquired,Relinquished,Notes
29487,3/31/2019,Clippers, Danilo Gallinari,,activated from IL
29488,3/31/2019,Hawks,, Dewayne Dedmon,placed on IL with sore left ankle (out for season)
29489,3/31/2019,Kings,, Marvin Bagley III,placed on IL with illness
29490,3/31/2019,Lakers,, LeBron James,placed on IL with left groin injury (out for season)
29491,3/31/2019,Mavericks,, Luka Doncic,placed on IL with bruised right thigh
29492,3/31/2019,Mavericks, Kostas Antetokounmpo,,activated from IL
29479,3/30/2019,76ers, James Ennis III,,activated from IL
29480,3/30/2019,Celtics,, Al Horford,placed on IL with sore left knee
29481,3/30/2019,Celtics,, Kyrie Irving,placed on IL with sore lower back
29482,3/30/2019,Clippers,, Danilo Gallinari,placed on IL with sore left ankle
29483,3/30/2019,Clippers, Patrick Beverley,,activated from IL
29484,3/30/2019,Raptors,, Patrick McCaw,placed on IL with sprained right thumb
29485,3/30/2019,Suns,, Richaun Holmes,placed on IL with migraine headache
29486,3/30/2019,Suns, Josh Jackson,,activated from IL
29473,3/29/2019,Celtics, Robert Williams III,,activated from IL
29474,3/29/2019,Hawks,, Taurean Prince,placed on IL with foot injury
29475,3/29/2019,Hornets, Nicolas Batum,,activated from IL
29476,3/29/2019,Knicks,, Frank Ntilikina,placed on IL with groin injury (out for season)
29477,3/29/2019,Lakers, LeBron James,,activated from IL
29478,3/29/2019,Wizards,, Trevor Ariza,placed on IL with strained left groin (out for season)
29463,3/28/2019,76ers, Ben Simmons,,activated from IL
29464,3/28/2019,Bucks,, Donte DiVincenzo,placed on IL with heel injury (out for season)
29465,3/28/2019,Clippers,, Patrick Beverley,placed on IL with hright hip pointer
29466,3/28/2019,Clippers, Landry Shamet,,activated from IL
29467,3/28/2019,Knicks, Dennis Smith Jr.,,activated from IL
29468,3/28/2019,Raptors,, Ogugua Anunoby / O.G. Anunoby,placed on IL with concussion
29469,3/28/2019,Rockets,, Isaiah Hartenstein,placed on IL
29470,3/28/2019,Bucks, Tony Snell,,activated from IL
29471,3/28/2019,Magic, Melvin Frazier Jr.,,activated from IL
29472,3/28/2019,Rockets, Kenneth Faried,,activated from IL
29455,3/27/2019,Blazers,, Jusuf Nurkic,placed on IL with fractured lower left leg (out for season)
29456,3/27/2019,Bulls,, Lauri Markkanen,placed on IL with fatigue (out for season)
29457,3/27/2019,Bulls,, Zach LaVine,placed on IL with bruised right thigh (out for season)
29458,3/27/2019,Lakers,, LeBron James,placed on IL
29459,3/27/2019,Lakers,, Tyson Chandler,placed on IL with illness
29460,3/27/2019,Lakers, Reggie Bullock,,activated from IL
29461,3/27/2019,Pacers,, Alize Johnson,placed on IL
29462,3/27/2019,Pacers, Darren Collison,,activated from IL
29442,3/26/2019,Bucks,, Tony Snell,placed on IL with sprained left ankle
29443,3/26/2019,Celtics, Al Horford,,activated from IL
29444,3/26/2019,Celtics, Jayson Tatum,,activated from IL
29445,3/26/2019,Clippers,, Landry Shamet,placed on IL with left ankle injury
29446,3/26/2019,Hornets,, Michael Kidd-Gilchrist,placed on IL with concussion
29447,3/26/2019,Hornets, Michael Kidd-Gilchrist,,activated from IL
29448,3/26/2019,Mavericks,, Kostas Antetokounmpo,placed on IL
29449,3/26/2019,Mavericks, Salah Mejri,,activated from IL
29450,3/26/2019,Pistons,, Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29451,3/26/2019,Rockets,, Gerald Green (b. 1986-01-26),placed on IL with strained left adductor
29452,3/26/2019,Rockets,, Kenneth Faried,placed on IL with sore left knee
29453,3/26/2019,Rockets, Isaiah Hartenstein,,activated from IL
29454,3/26/2019,Wizards, Trevor Ariza,,activated from IL
29439,3/25/2019,76ers,, Ben Simmons,placed on IL with gastroenteritis
29440,3/25/2019,76ers,, James Ennis III,placed on IL with bruised right quadriceps
29441,3/25/2019,Grizzlies,, Joakim Noah,placed on IL with sore right knee (out for season)
29429,3/24/2019,Celtics,, Jayson Tatum,placed on IL with bruised lower back
29430,3/24/2019,Celtics,, Robert Williams III,placed on IL with bruised lower back
29431,3/24/2019,Celtics, Aron Baynes,,activated from IL
29432,3/24/2019,Celtics, Gordon Hayward,,activated from IL
29433,3/24/2019,Lakers,, Reggie Bullock,placed on IL with right foot injury
29434,3/24/2019,Pistons, Sviatoslav Mykhailiuk / Svi Mykhailiuk,,activated from IL
29435,3/24/2019,Raptors, Kyle Lowry,,activated from IL
29436,3/24/2019,Warriors,, DeMarcus Cousins,placed on IL
29437,3/24/2019,Warriors, Stephen Curry,,activated from IL
29438,3/24/2019,Lakers, Mike Muscala,,activated from IL
29420,3/23/2019,Celtics,, Al Horford,placed on IL with sore left knee
29421,3/23/2019,Celtics,, Aron Baynes,placed on IL with sprained left ankle
29422,3/23/2019,Hornets,, Nicolas Batum,placed on IL with illness
29423,3/23/2019,Kings,, Harry Giles III,placed on IL with left thigh injury (out for season)
29424,3/23/2019,Mavericks,, Salah Mejri,placed on IL with illness
29425,3/23/2019,Suns,, Josh Jackson,placed on IL with sprained right ankle
29426,3/23/2019,Warriors,, Stephen Curry,placed on IL
29427,3/23/2019,Wizards,, Trevor Ariza,placed on IL with strained left groin
29428,3/23/2019,Wizards, Jordan McRae,,activated from IL
29412,3/22/2019,Grizzlies,, Avery Bradley,placed on IL with right shin injury (out for season)
29413,3/22/2019,Knicks, Frank Ntilikina,,activated from IL
29414,3/22/2019,Lakers,, Josh Hart,placed on IL with right knee tendinitis (out for season)
29415,3/22/2019,Lakers,, Mike Muscala,placed on IL with sore right ankle
29416,3/22/2019,Lakers, Lance Stephenson,,activated from IL
29417,3/22/2019,Lakers, LeBron James,,activated from IL
29418,3/22/2019,Magic,, Melvin Frazier Jr.,placed on IL
29419,3/22/2019,Nets, Shabazz Napier,,activated from IL
29405,3/21/2019,Hornets, (William) Tony Parker,,activated from IL
29406,3/21/2019,Mavericks,, Tim Hardaway Jr.,placed on IL with tibia injury (out for season)
29407,3/21/2019,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
29408,3/21/2019,Pistons, Blake Griffin,,activated from IL
29409,3/21/2019,Suns,, Tyler Johnson,placed on IL with sore right knee (out for season)
29410,3/21/2019,Suns, Richaun Holmes,,activated from IL
29411,3/21/2019,Warriors, DeMarcus Cousins,,activated from IL
29396,3/20/2019,Bucks,, Nikola Mirotic,placed on IL with fractured left thumb
29397,3/20/2019,Cavaliers, Tristan Thompson,,activated from IL
29398,3/20/2019,Celtics, Robert Williams III,,activated from IL
29399,3/20/2019,Grizzlies,, C.J. Miles,placed on IL with left foot injury (out for season)
29400,3/20/2019,Knicks,, Allonzo Trier,placed on IL with strained left calf (out for season)
29401,3/20/2019,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with sprained left wrist
29402,3/20/2019,Mavericks, Kostas Antetokounmpo,,activated from IL
29403,3/20/2019,Raptors,, Kyle Lowry,placed on IL with sprained right ankle
29404,3/20/2019,Wizards,, Jordan McRae,placed on IL
29386,3/19/2019,Bucks,, Pau Gasol,placed on IL with sore left ankle (out for season)
29387,3/19/2019,Bucks, Sterling Brown,,activated from IL
29388,3/19/2019,Hornets,, (William) Tony Parker,placed on IL
29389,3/19/2019,Hornets, Shelvin Mack,,activated from IL
29390,3/19/2019,Lakers,, LeBron James,placed on IL with left groin injury
29391,3/19/2019,Lakers, Tyson Chandler,,activated from IL
29392,3/19/2019,Nets,, Shabazz Napier,placed on IL with illness
29393,3/19/2019,Pacers,, Darren Collison,placed on IL with bruised right quadriceps
29394,3/19/2019,Timberwolves,, Derrick Rose,placed on IL with sore right elbow (out for season)
29395,3/19/2019,Warriors, Andre Iguodala,,activated from IL
29369,3/18/2019,Blazers,, C.J. McCollum,placed on IL with left knee injury
29370,3/18/2019,Blazers, Gary Trent Jr.,,activated from IL
29371,3/18/2019,Bulls,, Otto Porter Jr.,placed on IL with strained rotator cuff in right shoulder (out for season)
29372,3/18/2019,Celtics,, Gordon Hayward,placed on IL with concussion
29373,3/18/2019,Celtics, Guerschon Yabusele,,activated from IL
29374,3/18/2019,Heat,, Rodney McGruder,placed on IL with sore left knee
29375,3/18/2019,Jazz, Thabo Sefolosha,,activated from IL
29376,3/18/2019,Mavericks,, Kostas Antetokounmpo,placed on IL
29377,3/18/2019,Mavericks, Luka Doncic,,activated from IL
29378,3/18/2019,Pistons,, Blake Griffin,placed on IL
29379,3/18/2019,Raptors, Kyle Lowry,,activated from IL
29380,3/18/2019,Suns,, Kelly Oubre Jr.,placed on IL with sprained left thumb (out for season)
29381,3/18/2019,Suns,, Richaun Holmes,placed on IL with strained right quadriceps
29382,3/18/2019,Warriors,, Andre Iguodala,placed on IL with dental ailment
29383,3/18/2019,Warriors,, DeMarcus Cousins,placed on IL with sore right ankle
29384,3/18/2019,Warriors, Kevin Durant,,activated from IL
29385,3/18/2019,Celtics,, Robert Williams III,placed on IL with illness
29360,3/17/2019,Bucks,, Malcolm Brogdon,placed on IL with right foot injury
29361,3/17/2019,Heat,, Justise Winslow,placed on IL with bruised right thigh
29362,3/17/2019,Knicks,, Noah Vonleh,placed on IL with sprained right ankle (out for season)
29363,3/17/2019,Lakers,, Lance Stephenson,placed on IL with sprained toe
29364,3/17/2019,Lakers, LeBron James,,activated from IL
29365,3/17/2019,Nets,, Alan Williams,placed on IL
29366,3/17/2019,Nets, Shabazz Napier,,activated from IL
29367,3/17/2019,Raptors, Fred VanVleet,,activated from IL
29368,3/17/2019,Timberwolves, Derrick Rose,,activated from IL
29343,3/16/2019,Blazers, Maurice Harkless / Moe Harkless,,activated from IL
29344,3/16/2019,Celtics,, Guerschon Yabusele,placed on IL with illness
29345,3/16/2019,Celtics, Daniel Theis,,activated from IL
29346,3/16/2019,Celtics, Terry Rozier,,activated from IL
29347,3/16/2019,Jazz,, Dante Exum,placed on IL with right knee injury (out for season)
29348,3/16/2019,Jazz,, Thabo Sefolosha,placed on IL with left hamstring injury
29349,3/16/2019,Mavericks,, Luka Doncic,placed on IL with bruised right knee
29350,3/16/2019,Mavericks, Kostas Antetokounmpo,,activated from IL
29351,3/16/2019,Nets,,,activated from IL
29352,3/16/2019,Nets,, Allen Crabbe,placed on IL with sore right knee (out for season)
29353,3/16/2019,Nets,, Shabazz Napier,placed on IL with right hamstring injury
29354,3/16/2019,Nets, Alan Williams,,activated from IL
29355,3/16/2019,Nets, DeMarre Carroll,,activated from IL
29356,3/16/2019,Nets, Treveon Graham,,activated from IL
29357,3/16/2019,Nuggets, Torrey Craig,,activated from IL
29358,3/16/2019,Pacers, Tyreke Evans,,activated from IL
29359,3/16/2019,Wizards, Jordan McRae,,activated from IL
29325,3/15/2019,76ers,, Zhaire Smith,placed on IL
29326,3/15/2019,Blazers,, Gary Trent Jr.,placed on IL
29327,3/15/2019,Blazers,, Maurice Harkless / Moe Harkless,placed on IL with left knee injury
29328,3/15/2019,Blazers, Rodney Hood,,activated from IL
29329,3/15/2019,Bulls, Zach LaVine,,activated from IL
29330,3/15/2019,Hornets,, Cody Zeller,placed on IL with sore left knee (out for season)
29331,3/15/2019,Hornets,, Shelvin Mack,placed on IL
29332,3/15/2019,Hornets, (William) Tony Parker,,activated from IL
29333,3/15/2019,Hornets, Marvin Williams,,activated from IL
29334,3/15/2019,Hornets, Michael Kidd-Gilchrist,,activated from IL
29335,3/15/2019,Knicks,, Dennis Smith Jr.,placed on IL with sore lower back
29336,3/15/2019,Knicks,, Mario Hezonja,placed on IL with bruised left leg
29337,3/15/2019,Knicks, Kadeem Allen,,activated from IL
29338,3/15/2019,Knicks, Mario Hezonja,,activated from IL
29339,3/15/2019,Lakers,, LeBron James,placed on IL
29340,3/15/2019,Lakers, Lance Stephenson,,activated from IL
29341,3/15/2019,Pistons,, Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29342,3/15/2019,Spurs, Rudy Gay,,activated from IL
29316,3/14/2019,Celtics,, Daniel Theis,placed on IL with illness
29317,3/14/2019,Celtics,, Terry Rozier,placed on IL with illness
29318,3/14/2019,Celtics, Jayson Tatum,,activated from IL
29319,3/14/2019,Kings, Marvin Bagley III,,activated from IL
29320,3/14/2019,Nuggets,, Torrey Craig,placed on IL with sprained left shoulder
29321,3/14/2019,Nuggets, Trey Lyles,,activated from IL
29322,3/14/2019,Raptors,, Kyle Lowry,placed on IL with sprained left ankle
29323,3/14/2019,Timberwolves,, Derrick Rose,placed on IL with sore right elbow
29324,3/14/2019,Timberwolves, Andrew Wiggins,,activated from IL
29308,3/13/2019,Jazz, Raulzinho Neto / Raul Neto,,activated from IL
29309,3/13/2019,Jazz, Ricky Rubio,,activated from IL
29310,3/13/2019,Nets,, DeMarre Carroll,placed on IL with hyperextended left knee
29311,3/13/2019,Pistons, Sviatoslav Mykhailiuk / Svi Mykhailiuk,,activated from IL
29312,3/13/2019,Rockets, Danuel House Jr.,,activated from IL
29313,3/13/2019,Rockets, Terrence Jones,,activated from IL
29314,3/13/2019,Thunder, Hamidou Diallo,,activated from IL
29315,3/13/2019,Warriors,, Kevin Durant,placed on IL with sprained right ankle
29297,3/12/2019,76ers, Boban Marjanovic,,activated from IL
29298,3/12/2019,Blazers,, Rodney Hood,placed on IL with right hip injury
29299,3/12/2019,Blazers, Evan Turner,,activated from IL
29300,3/12/2019,Blazers, Gary Trent Jr.,,activated from IL
29301,3/12/2019,Bulls,, Zach LaVine,placed on IL with right knee injury
29302,3/12/2019,Cavaliers,, Larry Nance Jr.,placed on IL with rib injury
29303,3/12/2019,Lakers,, Lance Stephenson,placed on IL with sprained toe
29304,3/12/2019,Lakers, Kyle Kuzma,,activated from IL
29305,3/12/2019,Timberwolves,, Jeff Teague,placed on IL with left foot injury (out for season)
29306,3/12/2019,Timberwolves, Karl-Anthony Towns,,activated from IL
29307,3/12/2019,76ers, Zhaire Smith,,activated from IL
29292,3/11/2019,Celtics,, Jayson Tatum,placed on IL with sore right shoulder
29293,3/11/2019,Hornets,, Marvin Williams,placed on IL with illness
29294,3/11/2019,Jazz, Dante Exum,,activated from IL
29295,3/11/2019,Pistons, Bruce Brown,,activated from IL
29296,3/11/2019,Rockets,, Terrence Jones,placed on IL with illness
29279,3/10/2019,76ers, Joel Embiid,,activated from IL
29280,3/10/2019,Hawks, Dewayne Dedmon,,activated from IL
29281,3/10/2019,Magic,, Isaiah Briscoe,placed on IL with right knee injury
29282,3/10/2019,Mavericks,, Kostas Antetokounmpo,placed on IL
29283,3/10/2019,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
29284,3/10/2019,Pacers,, Tyreke Evans,placed on IL with illness
29285,3/10/2019,Pacers, Domantas Sabonis,,activated from IL
29286,3/10/2019,Pelicans,, E'Twaun Moore,placed on IL with bruised left quadricep (out for season)
29287,3/10/2019,Pistons,, Bruce Brown,placed on IL with sprained right ankle
29288,3/10/2019,Spurs,, Rudy Gay,placed on IL with illness
29289,3/10/2019,Spurs, Jakob Poeltl,,activated from IL
29290,3/10/2019,Timberwolves,, Andrew Wiggins,placed on IL with bruised left quadricep
29291,3/10/2019,Timberwolves,, Karl-Anthony Towns,placed on IL with right knee inflammation
29270,3/9/2019,Blazers,, Evan Turner,placed on IL with left knee injury
29271,3/9/2019,Blazers,, Gary Trent Jr.,placed on IL
29272,3/9/2019,Bucks, George Hill,,activated from IL
29273,3/9/2019,Celtics, Kyrie Irving,,activated from IL
29274,3/9/2019,Hawks,, Alex Poythress,placed on IL with sprained right ankle (out for season)
29275,3/9/2019,Hornets,, (William) Tony Parker,placed on IL
29276,3/9/2019,Hornets,, Michael Kidd-Gilchrist,placed on IL with strained left knee
29277,3/9/2019,Hornets, Bismack Biyombo,,activated from IL
29278,3/9/2019,Lakers,, Brandon Ingram,placed on IL with blood clot in right arm (out for season)
29258,3/8/2019,Cavaliers,, Matthew Dellavedova,placed on IL with concussion (out for season)
29259,3/8/2019,Cavaliers, Ante Zizic,,activated from IL
29260,3/8/2019,Cavaliers, Larry Nance Jr.,,activated from IL
29261,3/8/2019,Clippers, Wilson Chandler,,activated from IL
29262,3/8/2019,Heat, Goran Dragic,,activated from IL
29263,3/8/2019,Hornets,, Bismack Biyombo,placed on IL with sprained left knee
29264,3/8/2019,Jazz,, Ricky Rubio,placed on IL with hip injury
29265,3/8/2019,Magic, Terrence Ross,,activated from IL
29266,3/8/2019,Pelicans,, Jrue Holiday,placed on IL with strained lower abdominal (out for season)
29267,3/8/2019,Warriors, Kevon Looney,,activated from IL
29268,3/8/2019,Warriors, Klay Thompson,,activated from IL
29269,3/8/2019,Pistons, Zaur Pachulia / Zaza Pachulia,,activated from IL
29256,3/7/2019,Blazers, Gary Trent Jr.,,activated from IL
29257,3/7/2019,Bucks, Donte DiVincenzo,,activated from IL
29245,3/6/2019,Celtics,, Kyrie Irving,placed on IL with left thigh injury
29246,3/6/2019,Hawks,, Dewayne Dedmon,placed on IL with bruised right knee
29247,3/6/2019,Hawks, John Collins (Martin),,activated from IL
29248,3/6/2019,Knicks, DeAndre Jordan,,activated from IL
29249,3/6/2019,Lakers,, Kyle Kuzma,placed on IL with sprained right ankle
29250,3/6/2019,Lakers, Lance Stephenson,,activated from IL
29251,3/6/2019,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with left knee injury
29252,3/6/2019,Mavericks, Kostas Antetokounmpo,,activated from IL
29253,3/6/2019,Pelicans, Jahlil Okafor,,activated from IL
29254,3/6/2019,Pistons,, Zaur Pachulia / Zaza Pachulia,placed on IL with right Achilles injury
29255,3/6/2019,Spurs,, Jakob Poeltl,placed on IL with left hamstring injury
29238,3/5/2019,Blazers, Evan Turner,,activated from IL
29239,3/5/2019,Celtics, Guerschon Yabusele,,activated from IL
29240,3/5/2019,Magic,, Terrence Ross,placed on IL with left Achilles injury
29241,3/5/2019,Thunder,, Hamidou Diallo,placed on IL
29242,3/5/2019,Warriors,, Kevon Looney,placed on IL with pelvic injury
29243,3/5/2019,Warriors,, Klay Thompson,placed on IL with sore right knee
29244,3/5/2019,Pacers, Edmond Sumner,,activated from IL
29231,3/4/2019,Bucks, Malcolm Brogdon,,activated from IL
29232,3/4/2019,Heat,, Goran Dragic,placed on IL with strained left calf
29233,3/4/2019,Heat, Hassan Whiteside,,activated from IL
29234,3/4/2019,Lakers,, Tyson Chandler,placed on IL with stiff neck
29235,3/4/2019,Nets,, Treveon Graham,placed on IL with sore back
29236,3/4/2019,Pelicans,, Jahlil Okafor,placed on IL with sprained left ankle
29237,3/4/2019,Pelicans, Anthony Davis,,activated from IL
29223,3/3/2019,Blazers,, Gary Trent Jr.,placed on IL
29224,3/3/2019,Cavaliers,, Ante Zizic,placed on IL with concussion
29225,3/3/2019,Celtics,, Guerschon Yabusele,placed on IL
29226,3/3/2019,Celtics, Aron Baynes,,activated from IL
29227,3/3/2019,Hawks,, Omari Spellman,placed on IL with sprained left ankle (out for season)
29228,3/3/2019,Hawks, Alex Poythress,,activated from IL
29229,3/3/2019,Pistons,, Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29230,3/3/2019,Pistons, Jon Leuer,,activated from IL
29212,3/2/2019,Bucks,, Malcolm Brogdon,placed on IL with right foot injury
29213,3/2/2019,Heat,, Hassan Whiteside,placed on IL with strained left hip
29214,3/2/2019,Heat, James Johnson,,activated from IL
29215,3/2/2019,Jazz, Ricky Rubio,,activated from IL
29216,3/2/2019,Magic, Melvin Frazier Jr.,,activated from IL
29217,3/2/2019,Mavericks, Trey Burke,,activated from IL
29218,3/2/2019,Pelicans,, Anthony Davis,placed on IL
29219,3/2/2019,Pistons,, Jon Leuer,placed on IL
29220,3/2/2019,Pistons, Sviatoslav Mykhailiuk / Svi Mykhailiuk,,activated from IL
29221,3/2/2019,Warriors, Andre Iguodala,,activated from IL
29222,3/2/2019,Warriors, Kevin Durant,,activated from IL
29207,3/1/2019,Celtics, Terry Rozier,,activated from IL
29208,3/1/2019,Hawks,, John Collins (Martin),placed on IL with flu
29209,3/1/2019,Kings,, Marvin Bagley III,placed on IL with sprained left knee
29210,3/1/2019,Lakers,, Lance Stephenson,placed on IL with sprained toe
29211,3/1/2019,Nets, Spencer Dinwiddie,,activated from IL
29198,2/28/2019,76ers,, Boban Marjanovic,placed on IL with right knee injury
29199,2/28/2019,Jazz,, Raulzinho Neto / Raul Neto,placed on IL with left hamstring injury
29200,2/28/2019,Jazz,, Ricky Rubio,placed on IL with left hamstring injury
29201,2/28/2019,Magic, Isaiah Briscoe,,activated from IL
29202,2/28/2019,Timberwolves,, Luol Deng,placed on IL with left Achilles injury (out for season)
29203,2/28/2019,Timberwolves, Jeff Teague,,activated from IL
29204,2/28/2019,Warriors,, Andre Iguodala,placed on IL with illness
29205,2/28/2019,Warriors,, Kevin Durant,placed on IL
29206,2/28/2019,Warriors, DeMarcus Cousins,,activated from IL
29184,2/27/2019,Blazers, Gary Trent Jr.,,activated from IL
29185,2/27/2019,Bucks, Giannis Antetokounmpo,,activated from IL
29186,2/27/2019,Bulls, Kris Dunn,,activated from IL
29187,2/27/2019,Bulls, Otto Porter Jr.,,activated from IL
29188,2/27/2019,Celtics,, Terry Rozier,placed on IL with sore left knee
29189,2/27/2019,Hawks,, Alex Poythress,placed on IL
29190,2/27/2019,Heat, Justise Winslow,,activated from IL
29191,2/27/2019,Mavericks,, Trey Burke,placed on IL with illness
29192,2/27/2019,Pacers,, Domantas Sabonis,placed on IL with sprained left ankle
29193,2/27/2019,Pacers,, Edmond Sumner,placed on IL
29194,2/27/2019,Pelicans, Darius Miller,,activated from IL
29195,2/27/2019,Timberwolves,, Jeff Teague,placed on IL with sore left knee
29196,2/27/2019,Warriors,, DeMarcus Cousins,placed on IL
29197,2/27/2019,Warriors, Jordan Bell,,activated from IL
29166,2/25/2019,76ers,, Furkan Korkmaz,placed on IL with sore right knee
29167,2/25/2019,Blazers,, Gary Trent Jr.,placed on IL
29168,2/25/2019,Bucks,, George Hill,placed on IL with strained left groin
29169,2/25/2019,Bucks,, Giannis Antetokounmpo,placed on IL with sore right knee
29170,2/25/2019,Bucks,, Sterling Brown,placed on IL with right wrist injury
29171,2/25/2019,Bulls,, Kris Dunn,placed on IL with migraine headache
29172,2/25/2019,Bulls,, Otto Porter Jr.,placed on IL with lower leg injury
29173,2/25/2019,Hawks, Kevin Huerter,,activated from IL
29174,2/25/2019,Mavericks, Luka Doncic,,activated from IL
29175,2/25/2019,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
29176,2/25/2019,Pacers, Myles Turner,,activated from IL
29177,2/25/2019,Pelicans, Anthony Davis,,activated from IL
29178,2/25/2019,Rockets, Iman Shumpert,,activated from IL
29179,2/25/2019,Rockets, James Harden,,activated from IL
29180,2/25/2019,Timberwolves, Karl-Anthony Towns,,activated from IL
29181,2/25/2019,Warriors,, Jacob Evans,placed on IL
29182,2/25/2019,Warriors,, Jacob Evans,placed on IL
29183,2/25/2019,Warriors,, Jordan Bell,placed on IL with flu
29164,2/24/2019,Knicks,, DeAndre Jordan,placed on IL with sprained left ankle
29165,2/24/2019,Magic,, Isaiah Briscoe,placed on IL with concussion
29153,2/23/2019,Blazers,, Evan Turner,placed on IL with sore left knee
29154,2/23/2019,Blazers, Gary Trent Jr.,,activated from IL
29155,2/23/2019,Celtics, Gordon Hayward,,activated from IL
29156,2/23/2019,Heat,, James Johnson,placed on IL with sprained left shoulder
29157,2/23/2019,Heat,, Justise Winslow,placed on IL with sprained left knee
29158,2/23/2019,Heat, Goran Dragic,,activated from IL
29159,2/23/2019,Lakers, Mike Muscala,,activated from IL
29160,2/23/2019,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with illness
29161,2/23/2019,Pelicans,, Anthony Davis,placed on IL
29162,2/23/2019,Rockets,, James Harden,placed on IL with cervical strain
29163,2/23/2019,Warriors, Jacob Evans,,activated from IL
29130,2/22/2019,Bulls, Kris Dunn,,activated from IL
29131,2/22/2019,Grizzlies,, Jaren Jackson Jr.,placed on IL with right quadricep injury (out for season)
29132,2/22/2019,Grizzlies, Chandler Parsons,,activated from IL
29133,2/22/2019,Hawks,, Kevin Huerter,placed on IL with sprained left ankle
29134,2/22/2019,Hawks, Jaylen Adams,,activated from IL
29135,2/22/2019,Hornets, (William) Tony Parker,,activated from IL
29136,2/22/2019,Hornets, Bismack Biyombo,,activated from IL
29137,2/22/2019,Knicks,, Isaiah Hicks,placed on IL
29138,2/22/2019,Knicks,, Kadeem Allen,placed on IL
29139,2/22/2019,Knicks, Emmanuel Mudiay,,activated from IL
29140,2/22/2019,Magic,, Melvin Frazier Jr.,placed on IL
29141,2/22/2019,Mavericks,, Luka Doncic,placed on IL with sore right ankle
29142,2/22/2019,Nuggets,, Trey Lyles,placed on IL with strained left hamstring
29143,2/22/2019,Nuggets, Gary Harris,,activated from IL
29144,2/22/2019,Pacers,, Myles Turner,placed on IL with bruised left hip
29145,2/22/2019,Pelicans,, Darius Miller,placed on IL with sprained right ankle
29146,2/22/2019,Pelicans, Elfrid Payton,,activated from IL
29147,2/22/2019,Pistons, Jon Leuer,,activated from IL
29148,2/22/2019,Spurs, Derrick White,,activated from IL
29149,2/22/2019,Thunder, Jerami Grant,,activated from IL
29150,2/22/2019,Timberwolves,, Karl-Anthony Towns,placed on IL with concussion
29151,2/22/2019,Timberwolves, Tyus Jones,,activated from IL
29152,2/22/2019,Wizards,, Jordan McRae,placed on IL
29110,2/21/2019,76ers,, Joel Embiid,placed on IL with sore left knee
29111,2/21/2019,76ers, Furkan Korkmaz,,activated from IL
29112,2/21/2019,Bucks, Nikola Mirotic,,activated from IL
29113,2/21/2019,Celtics,, Gordon Hayward,placed on IL with sprained right ankle
29114,2/21/2019,Celtics, Kyrie Irving,,activated from IL
29115,2/21/2019,Celtics, Robert Williams III,,activated from IL
29116,2/21/2019,Celtics, Terry Rozier,,activated from IL
29117,2/21/2019,Heat, Derrick Jones Jr.,,activated from IL
29118,2/21/2019,Knicks, Mario Hezonja,,activated from IL
29119,2/21/2019,Lakers,, Mike Muscala,placed on IL with sprained right ankle
29120,2/21/2019,Nets, Jared Dudley,,activated from IL
29121,2/21/2019,Raptors, Patrick McCaw,,activated from IL
29122,2/21/2019,Rockets,, Iman Shumpert,placed on IL with sore right knee
29123,2/21/2019,Rockets,, Isaiah Hartenstein,placed on IL
29124,2/21/2019,Rockets, Clint Capela,,activated from IL
29125,2/21/2019,Timberwolves, Andrew Wiggins,,activated from IL
29126,2/21/2019,Warriors, Andre Iguodala,,activated from IL
29127,2/21/2019,Warriors, DeMarcus Cousins,,activated from IL
29128,2/21/2019,Warriors, Shaun Livingston,,activated from IL
29129,2/21/2019,Wizards, Troy Brown Jr.,,activated from IL
29109,2/20/2019,Suns, De'Anthony Melton,,activated from IL
29105,2/14/2019,Hawks, Alex Poythress,,activated from IL
29106,2/14/2019,Hornets,, Bismack Biyombo,placed on IL
29107,2/14/2019,Hornets, Devonte' Graham,,activated from IL
29108,2/14/2019,Knicks,, Mario Hezonja,placed on IL with bruised left leg
29090,2/13/2019,76ers,, Furkan Korkmaz,placed on IL with sore right knee
29091,2/13/2019,Blazers,, Gary Trent Jr.,placed on IL
29092,2/13/2019,Bulls,, Kris Dunn,placed on IL with bruised tailbone
29093,2/13/2019,Cavaliers, Ante Zizic,,activated from IL
29094,2/13/2019,Cavaliers, Cedi Osman,,activated from IL
29095,2/13/2019,Celtics,, Terry Rozier,placed on IL with illness
29096,2/13/2019,Mavericks, Salah Mejri,,activated from IL
29097,2/13/2019,Nuggets, Isaiah Thomas,,activated from IL
29098,2/13/2019,Nuggets, Tyler Lydon,,activated from IL
29099,2/13/2019,Pistons,, Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29100,2/13/2019,Raptors,, Patrick McCaw,placed on IL with sore right shoulder
29101,2/13/2019,Warriors,, Andre Iguodala,placed on IL
