date,rot,vh,team,1st,2nd,3rd,4th,final,open,close,ml,2h,season
1124,702,H,Cleveland,29,34,30,24,117,213.0,208.5,267,104.0,2018-19
1124,703,V,NewOrleans,34,34,23,23,114,2.0,238.5,139,116.0,2018-19
1124,704,H,Washington,37,31,22,34,124,240.0,3.5,-159,2.5,2018-19
1124,705,V,Chicago,22,28,29,17,96,216.5,219.0,520,112.5,2018-19
1124,706,H,Minnesota,20,29,35,27,111,9.5,11.5,-725,8.0,2018-19
1124,707,V,Denver,33,30,16,26,105,217.0,217.0,199,106.5,2018-19
1124,708,H,OklahomaCity,23,19,24,32,98,5.0,6.0,-240,8.0,2018-19
1124,709,V,SanAntonio,36,32,34,27,129,221.0,227.0,398,118.0,2018-19
1124,710,H,Milwaukee,37,30,28,40,135,9.0,10.0,-522,7.0,2018-19
1124,711,V,Sacramento,29,35,29,23,116,229.5,226.0,222,111.5,2018-19
1124,712,H,GoldenState,28,32,35,22,117,4.5,6.5,-270,6.5,2018-19
1124,713,V,Boston,26,30,26,22,104,2.5,2.5,-140,4.0,2018-19
1124,714,H,Dallas,32,27,28,26,113,213.0,213.0,120,110.5,2018-19
1125,501,V,Orlando,19,32,35,22,108,217.5,217.0,275,107.5,2018-19
1125,502,H,LALakers,29,23,19,33,104,8.5,7.5,-350,4.5,2018-19
1125,503,V,Phoenix,32,28,24,23,107,217.5,221.5,300,108.5,2018-19
1125,504,H,Detroit,27,35,21,35,118,8.5,8.5,-400,5.5,2018-19
1125,505,V,Miami,29,25,35,26,115,218.5,215.0,650,105.0,2018-19
1125,506,H,Toronto,36,27,38,24,125,11.0,12.0,-1000,4.0,2018-19
1125,507,V,Philadelphia,25,29,35,38,127,3.0,4.5,-200,6.5,2018-19
1125,508,H,Brooklyn,32,36,34,23,125,223.0,225.5,170,110.0,2018-19
1125,509,V,NewYork,21,22,35,25,103,208.5,205.5,285,100.0,2018-19
1125,510,H,Memphis,26,26,19,27,98,8.5,8.0,-370,1.5,2018-19
1125,511,V,Charlotte,43,23,31,26,123,8.0,6.5,-300,4.5,2018-19
