GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name
42100164,2021,2022-04-24,1610612743,1610612744,126.0,0.562,0.806,0.484,28.0,33.0,121.0,0.5,0.719,0.353,26.0,36.0,1,5.0,247.0,Denver Nuggets,Golden State Warriors
42100104,2021,2022-04-24,1610612737,1610612748,86.0,0.4,0.55,0.357,18.0,41.0,110.0,0.435,0.81,0.31,22.0,48.0,0,-24.0,196.0,Atlanta Hawks,Miami Heat
42100144,2021,2022-04-24,1610612740,1610612756,118.0,0.471,0.762,0.25,20.0,48.0,103.0,0.506,0.667,0.259,33.0,39.0,1,15.0,221.0,New Orleans Pelicans,Phoenix Suns
42100134,2021,2022-04-23,1610612761,1610612755,110.0,0.42,0.8,0.235,19.0,46.0,102.0,0.425,0.84,0.419,24.0,41.0,1,8.0,212.0,Toronto Raptors,Philadelphia 76ers
42100174,2021,2022-04-23,1610612762,1610612742,100.0,0.405,0.619,0.286,17.0,46.0,99.0,0.429,0.783,0.341,15.0,43.0,1,1.0,199.0,Utah Jazz,Dallas Mavericks
42100113,2021,2022-04-23,1610612751,1610612738,103.0,0.506,0.813,0.414,25.0,33.0,109.0,0.5,0.929,0.308,26.0,34.0,0,-6.0,212.0,Brooklyn Nets,Boston Celtics
42100154,2021,2022-04-23,1610612750,1610612763,119.0,0.473,0.775,0.5,23.0,34.0,118.0,0.488,0.76,0.469,31.0,39.0,1,1.0,237.0,Minnesota Timberwolves,Memphis Grizzlies
42100103,2021,2022-04-22,1610612737,1610612748,111.0,0.513,0.81,0.375,23.0,36.0,110.0,0.441,0.824,0.311,30.0,45.0,1,1.0,221.0,Atlanta Hawks,Miami Heat
42100123,2021,2022-04-22,1610612741,1610612749,81.0,0.393,0.6,0.265,22.0,43.0,111.0,0.473,0.714,0.366,27.0,55.0,0,-30.0,192.0,Chicago Bulls,Milwaukee Bucks
42100143,2021,2022-04-22,1610612740,1610612756,111.0,0.481,0.774,0.344,17.0,45.0,114.0,0.506,0.815,0.154,26.0,35.0,0,-3.0,225.0,New Orleans Pelicans,Phoenix Suns
42100153,2021,2022-04-21,1610612750,1610612763,95.0,0.388,0.739,0.343,21.0,41.0,104.0,0.422,0.645,0.378,22.0,48.0,0,-9.0,199.0,Minnesota Timberwolves,Memphis Grizzlies
42100173,2021,2022-04-21,1610612762,1610612742,118.0,0.565,0.939,0.321,20.0,32.0,126.0,0.494,0.839,0.429,24.0,32.0,0,-8.0,244.0,Utah Jazz,Dallas Mavericks
42100163,2021,2022-04-21,1610612743,1610612744,113.0,0.5,0.815,0.423,25.0,44.0,118.0,0.554,0.643,0.45,29.0,30.0,0,-5.0,231.0,Denver Nuggets,Golden State Warriors
42100112,2021,2022-04-20,1610612738,1610612751,114.0,0.52,0.806,0.355,27.0,36.0,107.0,0.461,0.794,0.476,16.0,36.0,1,7.0,221.0,Boston Celtics,Brooklyn Nets
42100133,2021,2022-04-20,1610612761,1610612755,101.0,0.442,0.667,0.371,23.0,32.0,104.0,0.514,0.75,0.419,18.0,46.0,0,-3.0,205.0,Toronto Raptors,Philadelphia 76ers
42100122,2021,2022-04-20,1610612749,1610612741,110.0,0.463,0.645,0.389,27.0,44.0,114.0,0.494,0.933,0.48,25.0,43.0,0,-4.0,224.0,Milwaukee Bucks,Chicago Bulls
42100102,2021,2022-04-19,1610612748,1610612737,115.0,0.481,0.862,0.389,21.0,34.0,105.0,0.471,0.786,0.3,21.0,40.0,1,10.0,220.0,Miami Heat,Atlanta Hawks
42100152,2021,2022-04-19,1610612763,1610612750,124.0,0.478,0.781,0.324,29.0,48.0,96.0,0.395,0.893,0.289,16.0,40.0,1,28.0,220.0,Memphis Grizzlies,Minnesota Timberwolves
42100142,2021,2022-04-19,1610612756,1610612740,114.0,0.5,0.833,0.371,26.0,33.0,125.0,0.548,0.8,0.567,32.0,43.0,0,-11.0,239.0,Phoenix Suns,New Orleans Pelicans
42100132,2021,2022-04-18,1610612755,1610612761,112.0,0.522,0.867,0.467,20.0,41.0,97.0,0.427,0.833,0.344,16.0,35.0,1,15.0,209.0,Philadelphia 76ers,Toronto Raptors
42100172,2021,2022-04-18,1610612742,1610612762,110.0,0.47,0.769,0.468,22.0,31.0,104.0,0.463,0.85,0.379,19.0,50.0,1,6.0,214.0,Dallas Mavericks,Utah Jazz
42100162,2021,2022-04-18,1610612744,1610612743,126.0,0.548,0.708,0.425,27.0,35.0,106.0,0.425,0.905,0.361,20.0,47.0,1,20.0,232.0,Golden State Warriors,Denver Nuggets
42100101,2021,2022-04-17,1610612748,1610612737,115.0,0.524,0.611,0.474,35.0,40.0,91.0,0.387,0.852,0.278,16.0,38.0,1,24.0,206.0,Miami Heat,Atlanta Hawks
42100111,2021,2022-04-17,1610612738,1610612751,115.0,0.472,0.792,0.364,24.0,43.0,114.0,0.538,0.792,0.458,20.0,29.0,1,1.0,229.0,Boston Celtics,Brooklyn Nets
42100121,2021,2022-04-17,1610612749,1610612741,93.0,0.405,0.652,0.263,19.0,58.0,86.0,0.323,0.895,0.189,17.0,53.0,1,7.0,179.0,Milwaukee Bucks,Chicago Bulls
