Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
14902,2010-01-27,Raptors,, DeMar DeRozan,placed on IL with sprained right ankle
14903,2010-01-27,Raptors, Marcus Banks,,activated from IL
14904,2010-01-27,Timberwolves,, Alando Tucker,placed on IL
14905,2010-01-27,Timberwolves, Oleksiy Pecherov,,activated from IL
14906,2010-01-29,Clippers,, Chris Kaman,placed on IL with sprained left ankle
14907,2010-01-29,Clippers, Brian Skinner,,activated from IL
14908,2010-01-29,Grizzlies,, Lester Hudson,placed on IL
14909,2010-01-29,Grizzlies, Hamed Haddadi,,activated from IL
14910,2010-01-29,Hawks,, Randolph Morris,placed on IL
14911,2010-01-29,Hawks, Jason Collins,,activated from IL
14912,2010-01-29,Heat,, Michael Beasley,placed on IL with hyperextended right knee
14913,2010-01-29,Heat, Daequan Cook,,activated from IL
14914,2010-01-29,Hornets, Aaron Gray,,activated from IL
14915,2010-01-29,Jazz, Kosta Koufos,,activated from IL
14916,2010-01-29,Kings,, Hilton Armstrong,placed on IL
14917,2010-01-29,Kings, Jon Brockman,,activated from IL
14918,2010-01-29,Nets,, Bobby Simmons,placed on IL
14919,2010-01-29,Nets, Courtney Lee,,activated from IL
14920,2010-01-29,Pistons,, DaJuan Summers,placed on IL
14921,2010-01-29,Pistons, Ben Gordon,,activated from IL
14922,2010-01-29,Rockets,, Jermaine Taylor,placed on IL
14923,2010-01-29,Spurs,, (William) Tony Parker,placed on IL with sprained left ankle
14924,2010-01-29,Spurs, Michael Finley,,activated from IL
14925,2010-01-29,Wizards,, Mike James (Lamont),placed on IL
14926,2010-01-29,Wizards, Nick Young,,activated from IL
14927,2010-01-30,Heat,, Mario Chalmers,placed on IL with partially torn ligament in left thumb
14928,2010-01-30,Heat, Yakhouba Diawara,,activated from IL
14929,2010-01-30,Mavericks, Eduardo Najera,,activated from IL
14930,2010-02-01,Grizzlies,, Sam Young,placed on IL with allergic reaction
14931,2010-02-01,Grizzlies, Lester Hudson,,activated from IL
14932,2010-02-01,Heat,, Jermaine O'Neal,placed on IL with back spasms
14933,2010-02-01,Heat, Michael Beasley,,activated from IL
14934,2010-02-01,Jazz,, Carlos Boozer,placed on IL with strained right calf muscle
14935,2010-02-01,Kings,, Tyreke Evans,placed on IL with sore right ankle (P) / bruised left hip (CBC)
14936,2010-02-01,Kings, Hilton Armstrong,,activated from IL
14937,2010-02-01,Lakers,, Adam Morrison,placed on IL
14938,2010-02-01,Lakers, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,activated from IL
14939,2010-02-01,Mavericks,, James Singleton,placed on IL
14940,2010-02-01,Mavericks, Matt Carroll,,activated from IL
14941,2010-02-02,Clippers,, Brian Skinner,placed on IL
14942,2010-02-02,Clippers, Chris Kaman,,activated from IL
14943,2010-02-02,Nets,, Keyon Dooling,placed on IL with hip injury
14944,2010-02-02,Nets, Devin Harris,,activated from IL
14945,2010-02-02,Pistons,, Chucky Atkins,placed on IL
14946,2010-02-02,Pistons, Will Bynum,,activated from IL
14947,2010-02-03,76ers, Royal Ivey,,activated from IL
14948,2010-02-03,Heat,, Yakhouba Diawara,placed on IL
14949,2010-02-03,Heat, Jermaine O'Neal,,activated from IL
14950,2010-02-03,Kings, Tyreke Evans,,activated from IL
14951,2010-02-03,Mavericks,, Erick Dampier,placed on IL with sore left knee
14952,2010-02-03,Mavericks, James Singleton,,activated from IL
14953,2010-02-03,Raptors,, Jose Calderon,placed on IL with sprained right ankle
14954,2010-02-03,Wizards,, Caron Butler,placed on IL with bruised left knee
14955,2010-02-03,Wizards, Mike James (Lamont),,activated from IL
14956,2010-02-03,Raptors, DeMar DeRozan,,activated from IL
14957,2010-02-04,Spurs,, Ian Mahinmi,placed on IL
14958,2010-02-04,Spurs, (William) Tony Parker,,activated from IL
14959,2010-02-05,Bulls,, Joakim Noah,placed on IL with plantar fasciaitis in left foot
14960,2010-02-05,Grizzlies,, Hamed Haddadi,placed on IL
14961,2010-02-05,Grizzlies, Sam Young,,activated from IL
14962,2010-02-05,Hornets,, Chris Paul,placed on IL recovering from surgery on left knee to repair torn meniscus
14963,2010-02-05,Mavericks,, Matt Carroll,placed on IL
14964,2010-02-05,Mavericks, Erick Dampier,,activated from IL
14965,2010-02-05,Nets,, Josh Boone,placed on IL
14966,2010-02-05,Nets, Keyon Dooling,,activated from IL
14967,2010-02-05,Pacers, Travis Diener,,activated from IL
14968,2010-02-05,Pistons,, Charlie Villanueva,placed on IL with sore back
14969,2010-02-05,Pistons, DaJuan Summers,,activated from IL
14970,2010-02-05,Rockets,, Will Conroy,placed on IL
14971,2010-02-05,Timberwolves,, Oleksiy Pecherov,placed on IL
14972,2010-02-05,Timberwolves, Nathan Jawai,,activated from IL
14973,2010-02-05,Wizards,, Mike James (Lamont),placed on IL
14974,2010-02-05,Wizards, Caron Butler,,activated from IL
14975,2010-02-06,Jazz,, Kosta Koufos,placed on IL
14976,2010-02-06,Jazz, Carlos Boozer,,activated from IL
14977,2010-02-06,Lakers,, Kobe Bryant,placed on IL with sore left ankle
14978,2010-02-06,Lakers, Adam Morrison,,activated from IL
14979,2010-02-06,Pistons,, DaJuan Summers,placed on IL
14980,2010-02-06,Pistons, Charlie Villanueva,,activated from IL
14981,2010-02-06,Timberwolves,, Nathan Jawai,placed on IL
14982,2010-02-06,Timberwolves, Oleksiy Pecherov,,activated from IL
14983,2010-02-07,Celtics,, Bill Walker / Henry Walker,placed on IL
14984,2010-02-07,Celtics, Marquis Daniels,,activated from IL
14985,2010-02-07,Raptors,, Marco Belinelli,placed on IL with sore left ankle (P) / knee injury (CBC)
14986,2010-02-07,Raptors, Jose Calderon,,activated from IL
14987,2010-02-08,Mavericks,, Erick Dampier,placed on IL with sore left knee
14988,2010-02-08,Mavericks, Matt Carroll,,activated from IL
14989,2010-02-09,76ers,, Rodney Carney,placed on IL with illness
14990,2010-02-09,76ers, Primoz Brezec,,activated from IL
14991,2010-02-09,Bobcats,, Acie Law,placed on IL
14992,2010-02-09,Bobcats, Tyson Chandler,,activated from IL
14993,2010-02-09,Grizzlies,, Steven Hunter,placed on IL
14994,2010-02-09,Grizzlies, Darrell Arthur,,activated from IL
14995,2010-02-09,Hawks,, Zaur Pachulia / Zaza Pachulia,placed on IL with hip injury
14996,2010-02-09,Hawks, Randolph Morris,,activated from IL
14997,2010-02-09,Nets,, Devin Harris,placed on IL with strained left shoulder
14998,2010-02-09,Nets, Bobby Simmons,,activated from IL
14999,2010-02-09,Nuggets,, Renaldo Balkman,placed on IL
15000,2010-02-09,Nuggets, Carmelo Anthony,,activated from IL
15001,2010-02-09,Pacers,, Travis Diener,placed on IL
15002,2010-02-09,Rockets,, Kyle Lowry,placed on IL with sprained left ankle
15003,2010-02-10,Bobcats,, Raymond Felton,placed on IL with sprained right ankle
15004,2010-02-10,Bobcats, Acie Law,,activated from IL
15005,2010-02-10,Celtics,, Ray Allen,placed on IL with back spasms
15006,2010-02-10,Celtics, Bill Walker / Henry Walker,,activated from IL
15007,2010-02-10,Nets,, Bobby Simmons,placed on IL
15008,2010-02-10,Nets, Devin Harris,,activated from IL
15009,2010-02-10,Raptors,, Patrick O'Bryant,placed on IL
15010,2010-02-10,Raptors, Marco Belinelli,,activated from IL
15011,2010-02-10,Raptors, Reggie Evans,,activated from IL
15012,2010-02-11,Cavaliers,, Darnell Jackson,placed on IL
15013,2010-02-11,Cavaliers, Delonte West,,activated from IL
15014,2010-02-11,Spurs,, (William) Tony Parker,placed on IL with strained left hip flexor
15015,2010-02-11,Spurs, Ian Mahinmi,,activated from IL
15016,2010-02-16,76ers,, Jason Smith,placed on IL with sprained right ankle
15017,2010-02-16,76ers,, Primoz Brezec,placed on IL
15018,2010-02-16,76ers, Rodney Carney,,activated from IL
15019,2010-02-16,Bobcats,, Acie Law,placed on IL
15020,2010-02-16,Bobcats, Raymond Felton,,activated from IL
15021,2010-02-16,Celtics,, Bill Walker / Henry Walker,placed on IL
15022,2010-02-16,Celtics, Ray Allen,,activated from IL
15023,2010-02-16,Clippers,, Travis Outlaw,placed on IL recovering from surgery on left foot to repair stress fracture
15024,2010-02-16,Clippers, Brian Skinner,,activated from IL
15025,2010-02-16,Kings,, Sergio Rodriguez,placed on IL
15026,2010-02-16,Kings, Francisco Garcia,,activated from IL
15027,2010-02-16,Mavericks, Erick Dampier,,activated from IL
15028,2010-02-16,Nets,, Tony Battie,placed on IL with illness
15029,2010-02-16,Nets, Josh Boone,,activated from IL
15030,2010-02-16,Timberwolves,, Oleksiy Pecherov,placed on IL
15031,2010-02-16,Timberwolves, Nathan Jawai,,activated from IL
15032,2010-02-17,Hawks,, Randolph Morris,placed on IL
15033,2010-02-17,Hawks, Zaur Pachulia / Zaza Pachulia,,activated from IL
15034,2010-02-17,Kings,, Sean May,placed on IL
15035,2010-02-17,Kings, Sergio Rodriguez,,activated from IL
15036,2010-02-17,Raptors,, Marcus Banks,placed on IL
15037,2010-02-17,Spurs,, Ian Mahinmi,placed on IL
15038,2010-02-17,Spurs, (William) Tony Parker,,activated from IL
15039,2010-02-17,Timberwolves, Oleksiy Pecherov,,activated from IL
15040,2010-02-17,Timberwolves,, Brian Cardinal,placed on IL
15041,2010-02-18,Cavaliers, Maurice Williams / Mo Williams,,activated from IL
15042,2010-02-19,76ers,, Francisco Elson,placed on IL with hernia surgery
15043,2010-02-19,Bobcats,, DeSagana Diop,placed on IL with sprained MCL in right knee / left knee (CBC)
15044,2010-02-19,Bucks,, Primoz Brezec,placed on IL
15045,2010-02-19,Bucks,, Royal Ivey,placed on IL
15046,2010-02-19,Bulls,, Lindsey Hunter,placed on IL
15047,2010-02-19,Cavaliers,, Danny Green,placed on IL
15048,2010-02-19,Cavaliers, Darnell Jackson,,activated from IL
15049,2010-02-19,Celtics,, Marcus Landry,placed on IL
15050,2010-02-19,Celtics,, Nate Robinson,placed on IL with flu
15051,2010-02-19,Grizzlies,, Lester Hudson,placed on IL
15052,2010-02-19,Heat,, Dwyane Wade,placed on IL with strained left calf
15053,2010-02-19,Heat,, Rafer Alston,placed on IL with right hand injury
15054,2010-02-19,Heat, Mario Chalmers,,activated from IL
15055,2010-02-19,Heat, Yakhouba Diawara,,activated from IL
15056,2010-02-19,Jazz, Kosta Koufos,,activated from IL
15057,2010-02-19,Raptors,, Chris Bosh,placed on IL with sprained left ankle
15058,2010-02-19,Raptors, Marcus Banks,,activated from IL
15059,2010-02-19,Spurs, Ian Mahinmi,,activated from IL
15060,2010-02-19,Timberwolves,, Darko Milicic,placed on IL
15061,2010-02-19,Wizards,, Zydrunas Ilgauskas,placed on IL
15062,2010-02-19,Timberwolves,, Nathan Jawai,placed on IL
15063,2010-02-20,Bucks,, Dan Gadzuric,placed on IL
15064,2010-02-20,Bucks, Primoz Brezec,,activated from IL
15065,2010-02-20,Bucks, Royal Ivey,,activated from IL
15066,2010-02-20,Bulls,, Joe Alexander,placed on IL
15067,2010-02-20,Bulls, Joakim Noah,,activated from IL
15068,2010-02-20,Kings,, Dominic McGuire,placed on IL
15069,2010-02-20,Kings,, Jon Brockman,placed on IL with sprained MCL in right knee
15070,2010-02-20,Kings,, Larry Hughes,placed on IL
15071,2010-02-20,Kings, Sean May,,activated from IL
15072,2010-02-20,Raptors,, Marcus Banks,placed on IL
15073,2010-02-20,Raptors, Patrick O'Bryant,,activated from IL
15074,2010-02-20,Rockets,, Jermaine Taylor,placed on IL
15075,2010-02-21,Cavaliers,, Sebastian Telfair,placed on IL
15076,2010-02-21,Grizzlies,, Ronnie Brewer,placed on IL with partially torn right hamstring
15077,2010-02-21,Grizzlies, Hamed Haddadi,,activated from IL
15078,2010-02-21,Hawks,, Jason Collins,placed on IL
15079,2010-02-21,Hawks, Randolph Morris,,activated from IL
15080,2010-02-21,Kings,, Joey Dorsey,placed on IL
15081,2010-02-21,Kings, Dominic McGuire,,activated from IL
15082,2010-02-21,Nets,, Chris Quinn,placed on IL with sprained left ankle
15083,2010-02-21,Nets, Tony Battie,,activated from IL
15084,2010-02-21,Spurs,, (William) Tony Parker,placed on IL with left hip injury
15085,2010-02-21,Spurs, Malik Hairston,,activated from IL
15086,2010-02-21,Timberwolves,, Alando Tucker,placed on IL
15087,2010-02-21,Timberwolves, Darko Milicic,,activated from IL
15088,2010-02-22,Bucks,, Kurt Thomas,placed on IL
15089,2010-02-22,Bucks, Dan Gadzuric,,activated from IL
15090,2010-02-22,Clippers,, Brian Skinner,placed on IL
15091,2010-02-22,Clippers, Travis Outlaw,,activated from IL
15092,2010-02-22,Pacers, Travis Diener,,activated from IL
15093,2010-02-23,Cavaliers,, Darnell Jackson,placed on IL
15094,2010-02-23,Cavaliers, Leon Powe,,activated from IL
15095,2010-02-23,Celtics,, Paul Pierce,placed on IL with flu (P) / thumb injury (CBC)
15096,2010-02-23,Celtics, Nate Robinson,,activated from IL
15097,2010-02-23,Kings, Joey Dorsey,,activated from IL
15098,2010-02-23,Lakers,, Sasha Vujacic,placed on IL with sprained right shoulder
15099,2010-02-23,Lakers, Kobe Bryant,,activated from IL
15100,2010-02-23,Nets,, Jarvis Hayes,placed on IL with strained left calf
15101,2010-02-23,Nets, Bobby Simmons,,activated from IL
15102,2010-02-23,76ers, Jason Smith,,activated from IL
15103,2010-02-24,Bucks,, Dan Gadzuric,placed on IL
15104,2010-02-24,Bucks, Kurt Thomas,,activated from IL
15105,2010-02-24,Mavericks,, Erick Dampier,placed on IL recovering from surgery to repair dislocated right middle finger
15106,2010-02-24,Pacers,, Mike Dunleavy Jr.,placed on IL with food poisoning
15107,2010-02-24,Pistons,, Chris Wilcox,placed on IL with sore back
15108,2010-02-24,Pistons, DaJuan Summers,,activated from IL
15109,2010-02-24,Rockets,, Trevor Ariza,placed on IL with hip flexor injury
15110,2010-02-24,Rockets, Jermaine Taylor,,activated from IL
15111,2010-02-24,Spurs,, Ian Mahinmi,placed on IL
15112,2010-02-24,Spurs, (William) Tony Parker,,activated from IL
15113,2010-02-24,Thunder,, Serge Ibaka,placed on IL
15114,2010-02-25,Celtics, Marcus Landry,,activated from IL
15115,2010-02-25,Pacers,, Travis Diener,placed on IL
15116,2010-02-25,Pacers, Mike Dunleavy Jr.,,activated from IL
15117,2010-02-26,Cavaliers,, Shaquille O'Neal,placed on IL with sprained right thumb
15118,2010-02-26,Grizzlies,, Hasheem Thabeet,placed on IL
15119,2010-02-26,Grizzlies,, Jamaal Tinsley,placed on IL with sore left hamstring
15120,2010-02-26,Grizzlies, Lester Hudson,,activated from IL
15121,2010-02-26,Grizzlies, Steven Hunter,,activated from IL
15122,2010-02-26,Hawks,, Randolph Morris,placed on IL
15123,2010-02-26,Hawks, Jason Collins,,activated from IL
15124,2010-02-26,Kings,, Jason Thompson,placed on IL with fractured lower back
15125,2010-02-26,Kings, Spencer Hawes,,activated from IL
15126,2010-02-26,Pistons,, Kwame Brown,placed on IL
15127,2010-02-26,Pistons, Chucky Atkins,,activated from IL
15128,2010-02-26,Raptors,, Patrick O'Bryant,placed on IL
15129,2010-02-26,Raptors, Marcus Banks,,activated from IL
15130,2010-02-26,Spurs,, (William) Tony Parker,placed on IL with stomach ailment
15131,2010-02-26,Spurs, Ian Mahinmi,,activated from IL
15132,2010-02-26,Thunder,, Antonio Anderson,placed on IL
15133,2010-02-26,Thunder, Serge Ibaka,,activated from IL
15134,2010-02-26,Wizards,, Josh Howard,placed on IL with torn ACL in left knee (out for season)
15135,2010-02-26,Cavaliers, Darnell Jackson,,activated from IL
15136,2010-02-27,Heat,, Yakhouba Diawara,placed on IL
15137,2010-02-27,Heat, Rafer Alston,,activated from IL
15138,2010-02-27,Nets,, Bobby Simmons,placed on IL
15139,2010-02-27,Nets, Jarvis Hayes,,activated from IL
15140,2010-02-28,Bucks,, Primoz Brezec,placed on IL
15141,2010-02-28,Bucks, Dan Gadzuric,,activated from IL
15142,2010-02-28,Heat,, James Jones (Andrew),placed on IL
15143,2010-02-28,Heat, Dwyane Wade,,activated from IL
15144,2010-02-28,Nets,, Courtney Lee,placed on IL with sprained left ankle
15145,2010-02-28,Nets, Chris Quinn,,activated from IL
15146,2010-02-28,Raptors,, Marcus Banks,placed on IL
15147,2010-02-28,Raptors, Patrick O'Bryant,,activated from IL
15148,2010-02-28,Spurs,, Ian Mahinmi,placed on IL
15149,2010-02-28,Spurs, (William) Tony Parker,,activated from IL
15150,2010-03-01,Bulls,, Joakim Noah,placed on IL with plantar fasciaitis in left foot
15151,2010-03-01,Bulls, Joe Alexander,,activated from IL
15152,2010-03-01,Cavaliers,, Daniel Gibson,placed on IL for personal reasons
15153,2010-03-01,Cavaliers, Danny Green,,activated from IL
15154,2010-03-01,Clippers,, Craig Smith,placed on IL with biceps injury
15155,2010-03-01,Clippers, Brian Skinner,,activated from IL
15156,2010-03-01,Raptors,, Jose Calderon,placed on IL with lacerated elbow
15157,2010-03-01,Raptors, Marcus Banks,,activated from IL
15158,2010-03-02,Celtics,, Kendrick Perkins,placed on IL with flu-like symptoms
15159,2010-03-02,Celtics, Paul Pierce,,activated from IL
15160,2010-03-02,Heat,, Jamaal Magloire,placed on IL
15161,2010-03-02,Heat, James Jones (Andrew),,activated from IL
15162,2010-03-02,Pistons,, Chucky Atkins,placed on IL with sternum injury
15163,2010-03-02,Thunder, D.J. White,,activated from IL
15164,2010-03-02,Pistons, Kwame Brown,,activated from IL
15165,2010-03-02,Thunder,, Byron Mullens / B.J. Mullens,placed on IL
15166,2010-03-03,Bucks,, Dan Gadzuric,placed on IL
15167,2010-03-03,Bucks, Primoz Brezec,,activated from IL
15168,2010-03-03,Celtics,, Marcus Landry,placed on IL
15169,2010-03-03,Celtics, Kendrick Perkins,,activated from IL
15170,2010-03-03,Nuggets,, Ty Lawson,placed on IL with bruised left shoulder
15171,2010-03-03,Nuggets, Renaldo Balkman,,activated from IL
15172,2010-03-03,Pistons,, Ben Wallace,placed on IL with right knee injury
15173,2010-03-03,Pistons, Chucky Atkins,,activated from IL
15174,2010-03-03,Thunder, Antonio Anderson,,activated from IL
15175,2010-03-03,Timberwolves,, Al Jefferson,placed on IL (suspended)
15176,2010-03-03,Timberwolves, Alando Tucker,,activated from IL
15177,2010-03-03,Thunder,, D.J. White,placed on IL
15178,2010-03-04,Bulls,, Devin Brown,placed on IL
15179,2010-03-04,Heat,, James Jones (Andrew),placed on IL
15180,2010-03-04,Heat, Jamaal Magloire,,activated from IL
15181,2010-03-05,Celtics,, Tony Allen,placed on IL with hip injury
15182,2010-03-05,Celtics, Marcus Landry,,activated from IL
15183,2010-03-05,Clippers,, Brian Skinner,placed on IL
15184,2010-03-05,Clippers, Craig Smith,,activated from IL
15185,2010-03-05,Mavericks,, Jason Terry,placed on IL recovering from surgery to repair fractured orbital bone and broken nose
15186,2010-03-05,Mavericks, Jason Kidd,,activated from IL
15187,2010-03-05,Raptors,, Patrick O'Bryant,placed on IL
15188,2010-03-05,Raptors, Jose Calderon,,activated from IL
15189,2010-03-07,Blazers,, Marcus Camby,placed on IL with sprained ankle
15190,2010-03-07,Celtics,, Marcus Landry,placed on IL
15191,2010-03-07,Celtics,, Michael Finley,placed on IL
15192,2010-03-07,Celtics, Tony Allen,,activated from IL
15193,2010-03-07,Clippers,, Eric Gordon,placed on IL with right leg injury
15194,2010-03-07,Kings,, Joey Dorsey,placed on IL
15195,2010-03-07,Kings,, Omri Casspi,placed on IL
15196,2010-03-07,Kings, Dominic McGuire,,activated from IL
15197,2010-03-07,Kings, Jason Thompson,,activated from IL
15198,2010-03-07,Nuggets,, Kenyon Martin Sr.,placed on IL with left knee patella tendinitis
15199,2010-03-07,Pistons,, Rodney Stuckey,placed on IL undergoing tests after collapsing
15200,2010-03-07,Pistons, Chris Wilcox,,activated from IL
15201,2010-03-07,Raptors,, Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sprained left ankle
15202,2010-03-07,Raptors, Chris Bosh,,activated from IL
15203,2010-03-07,Nuggets, Ty Lawson,,activated from IL
15204,2010-03-08,Cavaliers,, LeBron James,placed on IL for rest / sore right ankle
15205,2010-03-08,Cavaliers, Daniel Gibson,,activated from IL
15206,2010-03-08,Grizzlies,, Steven Hunter,placed on IL with sore left knee (out for season)
15207,2010-03-08,Nets,, Yi Jianlian / Jianlian Yi,placed on IL with sprained left ankle
15208,2010-03-08,Timberwolves,, Wayne Ellington,placed on IL
15209,2010-03-08,Grizzlies, Hasheem Thabeet,,activated from IL
15210,2010-03-08,Timberwolves, Al Jefferson,,activated from IL
15211,2010-03-09,Blazers,, Patrick Mills / Patty Mills,placed on IL
15212,2010-03-09,Blazers, Marcus Camby,,activated from IL
15213,2010-03-09,Bucks,, Jerry Stackhouse,placed on IL with strained left hamstring
15214,2010-03-09,Bucks, Dan Gadzuric,,activated from IL
15215,2010-03-09,Celtics,, Brian Scalabrine,placed on IL
15216,2010-03-09,Celtics, Michael Finley,,activated from IL
15217,2010-03-09,Heat,, Yakhouba Diawara,placed on IL
15218,2010-03-09,Heat, Dorell Wright,,activated from IL
15219,2010-03-09,Jazz,, Kosta Koufos,placed on IL
15220,2010-03-09,Jazz, Kyrylo Fesenko,,activated from IL
15221,2010-03-09,Kings,, Ime Udoka,placed on IL with sore left knee
15222,2010-03-09,Kings, Omri Casspi,,activated from IL
15223,2010-03-09,Lakers,, Luke Walton,placed on IL with pinched nerve in back
15224,2010-03-09,Lakers, Sasha Vujacic,,activated from IL
15225,2010-03-09,Raptors,, Marcus Banks,placed on IL
15226,2010-03-09,Raptors, Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
15227,2010-03-09,Rockets,, David Andersen,placed on IL
15228,2010-03-09,Rockets,, Will Conroy,placed on IL
15229,2010-03-09,Rockets, Kyle Lowry,,activated from IL
15230,2010-03-09,Rockets, Trevor Ariza,,activated from IL
15231,2010-03-10,Kings,, Dominic McGuire,placed on IL
15232,2010-03-10,Kings, Ime Udoka,,activated from IL
15233,2010-03-10,Mavericks, Erick Dampier,,activated from IL
15234,2010-03-10,Spurs,, (William) Tony Parker,placed on IL with broken bone in right hand
15235,2010-03-10,Thunder,, Antonio Anderson,placed on IL
15236,2010-03-10,Thunder, D.J. White,,activated from IL
15237,2010-03-10,Timberwolves,, Alando Tucker,placed on IL
15238,2010-03-10,Timberwolves,, Oleksiy Pecherov,placed on IL
15239,2010-03-10,Timberwolves, Nathan Jawai,,activated from IL
15240,2010-03-10,Timberwolves, Wayne Ellington,,activated from IL
15241,2010-03-11,Bulls,, Luol Deng,placed on IL with strained right calf
15242,2010-03-11,Bulls, Devin Brown,,activated from IL
15243,2010-03-11,Hawks,, Maurice Evans,placed on IL with flu
15244,2010-03-11,Hawks, Randolph Morris,,activated from IL
15245,2010-03-11,Magic,, Mickael Pietrus,placed on IL with strained neck
15246,2010-03-11,Magic, Adonal Foyle,,activated from IL
15247,2010-03-12,Bucks, Jerry Stackhouse,,activated from IL
15248,2010-03-12,Cavaliers,, Antawn Jamison,placed on IL with left knee injury
15249,2010-03-12,Cavaliers, LeBron James,,activated from IL
15250,2010-03-12,Heat, Yakhouba Diawara,,activated from IL
15251,2010-03-12,Thunder,, James Harden,placed on IL with strained right hamstring
15252,2010-03-12,Thunder,, Kevin Ollie,placed on IL
15253,2010-03-12,Thunder, Antonio Anderson,,activated from IL
15254,2010-03-12,Timberwolves,, Kevin Love,placed on IL with sprained left foot
15255,2010-03-12,Timberwolves, Oleksiy Pecherov,,activated from IL
15256,2010-03-12,Thunder, Kyle Weaver,,activated from IL
15257,2010-03-13,Hawks,, Randolph Morris,placed on IL
15258,2010-03-13,Hawks, Maurice Evans,,activated from IL
15259,2010-03-13,Magic,, Adonal Foyle,placed on IL
15260,2010-03-13,Magic, Mickael Pietrus,,activated from IL
15261,2010-03-13,Rockets,, Jermaine Taylor,placed on IL
15262,2010-03-13,Rockets, David Andersen,,activated from IL
15263,2010-03-14,Cavaliers,, Danny Green,placed on IL
15264,2010-03-14,Cavaliers, Antawn Jamison,,activated from IL
15265,2010-03-14,Kings, Joey Dorsey,,activated from IL
15266,2010-03-14,Magic,, Matt Barnes,placed on IL with sprained left big toe
15267,2010-03-14,Magic, Adonal Foyle,,activated from IL
15268,2010-03-15,Clippers,, Craig Smith,placed on IL with migraine headache
15269,2010-03-15,Clippers, Eric Gordon,,activated from IL
15270,2010-03-16,Bobcats,, Larry Hughes,placed on IL with broken left hand
15271,2010-03-16,Cavaliers,, Delonte West,placed on IL with sprained left knee
15272,2010-03-16,Cavaliers, Danny Green,,activated from IL
15273,2010-03-16,Grizzlies,, Lester Hudson,placed on IL
15274,2010-03-16,Grizzlies, Ronnie Brewer,,activated from IL
15275,2010-03-16,Hawks,, Joe Johnson,placed on IL with Achilles tendinitis
15276,2010-03-16,Hawks, Randolph Morris,,activated from IL
15277,2010-03-16,Kings,, Joey Dorsey,placed on IL
15278,2010-03-16,Kings, Dominic McGuire,,activated from IL
15279,2010-03-16,Nets,, Devin Harris,placed on IL with upper respiratory infection
15280,2010-03-16,Nets, Bobby Simmons,,activated from IL
15281,2010-03-16,Spurs,, Garrett Temple,placed on IL
15282,2010-03-16,Suns,, Earl Clark,placed on IL
15283,2010-03-16,Suns, Leandro Barbosa,,activated from IL
15284,2010-03-16,Timberwolves,, Aleksandar Pavlovic / Sasha Pavlovic,placed on IL with calf injury
15285,2010-03-16,Timberwolves,, Nathan Jawai,placed on IL
15286,2010-03-16,Timberwolves, Alando Tucker,,activated from IL
15287,2010-03-16,Timberwolves, Kevin Love,,activated from IL
15288,2010-03-16,Heat,, Kenny Hasbrouck,placed on IL
15289,2010-03-17,Bucks,, Carlos Delfino,placed on IL with left ankle injury
15290,2010-03-17,Bucks, Dan Gadzuric,,activated from IL
15291,2010-03-17,Cavaliers,, Danny Green,placed on IL
15292,2010-03-17,Cavaliers, Delonte West,,activated from IL
15293,2010-03-17,Clippers,, Brian Skinner,placed on IL
15294,2010-03-17,Clippers, Craig Smith,,activated from IL
15295,2010-03-17,Magic,, Adonal Foyle,placed on IL
15296,2010-03-17,Magic, Matt Barnes,,activated from IL
15297,2010-03-17,Mavericks, Jason Terry,,activated from IL
15298,2010-03-17,Raptors,, Antoine Wright,placed on IL with sore right knee (P) / sprained right ankle (NBA)
15299,2010-03-17,Raptors, Marcus Banks,,activated from IL
15300,2010-03-17,Spurs,, Cedric Jackson,placed on IL
15301,2010-03-17,Spurs, Garrett Temple,,activated from IL
15302,2010-03-18,Heat,, Yakhouba Diawara,placed on IL
15303,2010-03-18,Magic,, Mickael Pietrus,placed on IL with sprained left ankle
15304,2010-03-18,Magic, Adonal Foyle,,activated from IL
15305,2010-03-19,Bucks,, Dan Gadzuric,placed on IL
15306,2010-03-19,Bucks, Carlos Delfino,,activated from IL
15307,2010-03-19,Hawks,, Randolph Morris,placed on IL
15308,2010-03-19,Hawks, Joe Johnson,,activated from IL
15309,2010-03-19,Pistons,, Chris Wilcox,placed on IL
15310,2010-03-19,Pistons,, Chucky Atkins,placed on IL
15311,2010-03-19,Pistons, Ben Wallace,,activated from IL
15312,2010-03-19,Pistons, Rodney Stuckey,,activated from IL
15313,2010-03-19,Thunder,, Mustafa Shakur,placed on IL
15314,2010-03-19,Thunder, Kevin Ollie,,activated from IL
15315,2010-03-19,Timberwolves,, Alando Tucker,placed on IL
15316,2010-03-19,Timberwolves, Nathan Jawai,,activated from IL
15317,2010-03-20,Bobcats, Larry Hughes,,activated from IL
15318,2010-03-20,Bulls,, Devin Brown,placed on IL
15319,2010-03-20,Bulls, Joakim Noah,,activated from IL
15320,2010-03-20,Grizzlies,, Marc Gasol,placed on IL with partially torn neck muscle
15321,2010-03-20,Grizzlies, Jamaal Tinsley,,activated from IL
15322,2010-03-20,Heat,, Jermaine O'Neal,placed on IL with sprained left ankle
15323,2010-03-20,Heat, Yakhouba Diawara,,activated from IL
