GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name,home_team_oddsname,away_team_oddsname
42100156,2021,2022-04-29,1610612750,1610612763,106.0,0.452,0.692,0.387,22.0,37.0,114.0,0.465,0.792,0.469,24.0,55.0,0,-8.0,220.0,Minnesota Timberwolves,Memphis Grizzlies,Minnesota,Memphis
42100136,2021,2022-04-28,1610612761,1610612755,97.0,0.393,0.8,0.2,15.0,37.0,132.0,0.58,0.957,0.4,32.0,47.0,0,-35.0,229.0,Toronto Raptors,Philadelphia 76ers,Toronto,Philadelphia
42100146,2021,2022-04-28,1610612740,1610612756,109.0,0.506,0.895,0.333,25.0,36.0,115.0,0.6,0.944,0.4,23.0,32.0,0,-6.0,224.0,New Orleans Pelicans,Phoenix Suns,NewOrleans,Phoenix
42100176,2021,2022-04-28,1610612762,1610612742,96.0,0.429,0.75,0.257,20.0,48.0,98.0,0.45,0.818,0.395,22.0,37.0,0,-2.0,194.0,Utah Jazz,Dallas Mavericks,Utah,Dallas
42100125,2021,2022-04-27,1610612749,1610612741,116.0,0.494,0.8,0.389,23.0,51.0,100.0,0.424,0.636,0.288,24.0,37.0,1,16.0,216.0,Milwaukee Bucks,Chicago Bulls,Milwaukee,Chicago
42100165,2021,2022-04-27,1610612744,1610612743,102.0,0.451,0.714,0.419,28.0,37.0,98.0,0.444,0.69,0.207,26.0,50.0,1,4.0,200.0,Golden State Warriors,Denver Nuggets,GoldenState,Denver
42100105,2021,2022-04-26,1610612748,1610612737,97.0,0.451,0.762,0.226,19.0,33.0,94.0,0.419,0.857,0.32,15.0,42.0,1,3.0,191.0,Miami Heat,Atlanta Hawks,Miami,Atlanta
42100155,2021,2022-04-26,1610612763,1610612750,111.0,0.415,0.667,0.25,24.0,53.0,109.0,0.446,0.875,0.424,23.0,42.0,1,2.0,220.0,Memphis Grizzlies,Minnesota Timberwolves,Memphis,Minnesota
42100145,2021,2022-04-26,1610612756,1610612740,112.0,0.5,0.8,0.37,28.0,40.0,97.0,0.4,0.8,0.2,14.0,47.0,1,15.0,209.0,Phoenix Suns,New Orleans Pelicans,Phoenix,NewOrleans
42100114,2021,2022-04-25,1610612751,1610612738,112.0,0.506,0.586,0.371,28.0,38.0,116.0,0.472,0.818,0.4,26.0,45.0,0,-4.0,228.0,Brooklyn Nets,Boston Celtics,Brooklyn,Boston
42100135,2021,2022-04-25,1610612755,1610612761,88.0,0.383,0.8,0.27,21.0,37.0,103.0,0.512,0.846,0.258,24.0,40.0,0,-15.0,191.0,Philadelphia 76ers,Toronto Raptors,Philadelphia,Toronto
42100175,2021,2022-04-25,1610612742,1610612762,102.0,0.435,0.762,0.279,16.0,49.0,77.0,0.377,0.762,0.1,12.0,40.0,1,25.0,179.0,Dallas Mavericks,Utah Jazz,Dallas,Utah
